unique_id,semester,time,consent_pre,plan,level,english_first_language,reading_ability,writing_ability,prior_bio,age,race_complete,gender_complete,PELL_complete,sbu_admit_type_category,citizenship,country_citizenship,family_income,first_generation,high_school_gpa_band,high_school_gpa,cum_college_gpa,PlacementMathScore,PlacementWritingScore,SAT1600Score,SATMathScore,SATVerbalScore,SATWritingScore,SATEssayScore,SATCompScore,cins_01,cins_02,cins_03,cins_04,cins_05,cins_06,cins_07,cins_08,cins_09,cins_10,cins_11,cins_12,cins_13,cins_14,cins_15,cins_16,cins_17,cins_18,cins_19,cins_20,cins_total_pre,cans_01,cans_02,cans_03,cans_04,cans_05,cans_06,cans_07,cans_08,cans_09,cans_10,cans_11,cans_12,cans_13,cans_14,cans_15,cans_16,cans_17,cans_18,cans_19,cans_20,cans_21,cans_22,cans_23,cans_24,cans_total_pre
F13_100,F13,pre,I consent.,2,5,1,4,5,0,28,White,1,0,New,Native,United States,"$105,000+",,95 - 100,99.5,,7,3,1440,740,700,,,1440,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,14,,,,,,,,,,,,,,,,,,,,,,,,,
F13_277,F13,pre,I consent.,1,5,1,4,4,3,30,White,1,0,New,Native,United States,NA,,80 - 84.9,83.3,2.3,,,1130,570,560,,,1130,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,
F13_213,F13,pre,I consent.,2,4,1,5,5,3,18,Asian,0,0,Transfer,Naturalized,Unknown,"$65,000-84,999",,85 - 89.9,87,2.3,,3,1160,610,550,,,1160,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,
F13_124,F13,pre,I consent.,3,6,2,2,2,0,26,Asian,1,0,New,Native,United States,"$85,000-104,999",,80 - 84.9,84.33,3.09,,3,970,550,420,,,970,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
F13_098,F13,pre,I consent.,3,6,1,5,5,3,25,White,1,0,New,Native,United States,NA,,85 - 89.9,87,,,,1130,620,510,530,8,1130,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,
F13_063,F13,pre,I consent.,3,5,2,5,5,3,24,White,0,0,Transfer,Naturalized,Brazil,NA,,90 - 94.9,91,3.17,,,1290,700,590,600,9,1290,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,
F13_202,F13,pre,I consent.,2,5,2,3,4,0,23,Black/African American,0,1,Transfer,Native,United States,"$85,000-104,999",,Unknown,,2.39,,,960,500,460,410,8,960,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,
F13_101,F13,pre,I consent.,2,4,3,3,4,0,20,Asian,1,0,Transfer,Native,United States,"$185,000+",,90 - 94.9,94.56,1.68,,,1410,670,640,570,,1310,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
F13_099,F13,pre,I consent.,1,5,,,3,3,22,Black/African American,0,0,Transfer,Native,United States,"$85,000-104,999",,Unknown,,3.16,,,1040,600,440,450,6,1040,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_005,F13,pre,I consent.,1,3,3,3,2,2,15,tive Hawaiian/Other Pacific Island,0,0,Transfer,Native,United States,"$15,000-29,999",,90 - 94.9,91,,,,1270,610,660,560,9,1270,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
F13_012,F13,pre,I consent.,3,6,1,2,2,3,23,Asian,1,0,Transfer,Native,United States,"105,000-124,999",,85 - 89.9,89,3.46,3,,1060,550,510,510,10,1060,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,
F13_019,F13,pre,I consent.,2,5,1,4,3,0,22,Black/African American,0,1,Transfer,Native,United States,"$30,000-44,999",,Below 75,70,2.71,1,,,,,,,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
F13_209,F13,pre,I consent.,1,4,2,5,5,2,23,Black/African American,1,1,Transfer,Native,United States,"$0-14,999",,Unknown,,3.09,,,770,,,,,,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
F13_138,F13,pre,I consent.,1,5,1,5,5,3,19,White,1,0,New,Native,United States,"$185,000+",,95 - 100,99,,8,,1450,750,700,700,11,1450,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,
F13_223,F13,pre,I consent.,1,4,1,4,3,3,22,Hispanic of any race,0,1,Transfer,Native,United States,"$0-14,999",,80 - 84.9,83,3.04,,,720,380,340,340,8,720,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,
